"","ASV","CopiotrophyIndex","dCUB","nGenes","nCAZy"
"1","6ac45b550b50527e00131a14b0259cdc",4.13670615171748,-0.252538232646204,4112,62
"2","c0c069d0b4211c288fbd6a6fd6d2f23f",4.13670615171748,-0.252538232646204,4112,62
"3","d10c269cdb56063d94bce16cfa247683",4.4605619503481,-0.317849884154986,4374,73
"4","4020190ce23968c48d5471f4b3773b01",1.89935971648448,-0.00630381327658537,1324,26
"5","7fc52bef851216816830dbc6d9af12f3",1.89935971648448,-0.00630381327658537,1324,26
"6","bc61037a17c9c05b538e46d60f1bae11",1.89935971648448,-0.00630381327658537,1324,26
"7","f5db73610916da0284122ab54a820b97",1.89935971648448,-0.00630381327658537,1324,26
"8","222bddbb485619a34a9341d5224edace",3.16837590868804,-0.153088665965149,3415,113
"9","2373be826473021706d55049538ad8e7",3.16837590868804,-0.153088665965149,3415,113
"10","41670117726add01e60fe76aed5df9fb",3.16837590868804,-0.153088665965149,3415,113
"11","420da179792d9b14faa4473ca4a50a2f",3.16837590868804,-0.153088665965149,3415,113
"12","42e96b57cb639d6384118e1570a4fd7f",3.16837590868804,-0.153088665965149,3415,113
"13","56198d063fed639e54f43fa8696711c2",3.16837590868804,-0.153088665965149,3415,113
"14","63b17540270dd525f08d79584a907346",3.16837590868804,-0.153088665965149,3415,113
"15","7b8990d246b5861296a10efca60c5956",3.16837590868804,-0.153088665965149,3415,113
"16","a2d550eae09ce058a97c03293b1cc299",3.16837590868804,-0.153088665965149,3415,113
"17","c9a25610b51f37c2b4600a14f6dd7352",3.16837590868804,-0.153088665965149,3415,113
"18","d849e0ee3d8178b21411bfe2e4cde312",3.16837590868804,-0.153088665965149,3415,113
"19","dbec3e941fed9752437d426ffe5e9ae9",3.16837590868804,-0.153088665965149,3415,113
"20","12e80d63e36932ff4df1e20519354343",3.67686470242697,-0.147396060263381,4076,80
"21","19b99820a09638af31973e81bc80663c",3.67686470242697,-0.147396060263381,4076,80
"22","2f5e150e965b9b3f07a3f9f06dfba2b4",3.67686470242697,-0.147396060263381,4076,80
"23","389a7c5820889414a5097d60bb8d9c0d",3.67686470242697,-0.147396060263381,4076,80
"24","5bce9ceea2c2af0051f20a8706d54085",3.67686470242697,-0.147396060263381,4076,80
"25","769c2cdd71e419d3aaabfa118cdc0143",3.67686470242697,-0.147396060263381,4076,80
"26","ab72ccaaf5ffeffa553bb6e1995b61a7",3.67686470242697,-0.147396060263381,4076,80
"27","d5dfa7b6be369d3973b44262d8dc034b",3.67686470242697,-0.147396060263381,4076,80
"28","dbf93a0585dca46f3971117da832b16c",3.67686470242697,-0.147396060263381,4076,80
"29","eb9d9d880c737c156d5b384d30871bbb",3.67686470242697,-0.147396060263381,4076,80
"30","ec69716481aecd4b876fa47455e99121",3.67686470242697,-0.147396060263381,4076,80
"31","026829d2f984bd812b85f8d2e894e789",2.72320182948204,-0.110414932040574,2336,48
