"","ASV","CopiotrophyIndex","dCUB","nGenes","nCAZy"
"1","6ac45b550b50527e00131a14b0259cdc",4.13670615171748,-0.252538232646204,4112,62
"2","c0c069d0b4211c288fbd6a6fd6d2f23f",4.13670615171748,-0.252538232646204,4112,62
"3","c4c05e3fb84cfe3275b351fe3c08bcee",4.13670615171748,-0.252538232646204,4112,62
"4","4020190ce23968c48d5471f4b3773b01",1.89935971648448,-0.00630381327658537,1324,26
"5","7fc52bef851216816830dbc6d9af12f3",1.89935971648448,-0.00630381327658537,1324,26
"6","ac835cdadfb8b1df144eaeaddb28f478",1.89935971648448,-0.00630381327658537,1324,26
"7","e569a0025d83853d9173811ea0d79634",1.89935971648448,-0.00630381327658537,1324,26
"8","f5db73610916da0284122ab54a820b97",1.89935971648448,-0.00630381327658537,1324,26
"9","040326cfa264b512d23d6dc4920af828",3.16837590868804,-0.153088665965149,3415,113
"10","2373be826473021706d55049538ad8e7",3.16837590868804,-0.153088665965149,3415,113
"11","7b8990d246b5861296a10efca60c5956",3.16837590868804,-0.153088665965149,3415,113
"12","c9a25610b51f37c2b4600a14f6dd7352",3.16837590868804,-0.153088665965149,3415,113
"13","2f5e150e965b9b3f07a3f9f06dfba2b4",3.67686470242697,-0.147396060263381,4076,80
"14","769c2cdd71e419d3aaabfa118cdc0143",3.67686470242697,-0.147396060263381,4076,80
"15","dbf93a0585dca46f3971117da832b16c",3.67686470242697,-0.147396060263381,4076,80
"16","14cf1749c9eb4df97694203b73958cf9",2.72320182948204,-0.110414932040574,2336,48
"17","3c82d1b903869e3e42fb89da544c5383",2.72320182948204,-0.110414932040574,2336,48
"18","67552dddf9c571a2c8bedcb654691c9d",2.72320182948204,-0.110414932040574,2336,48
"19","841cbd6245062464406e9b9bdc1f2891",2.72320182948204,-0.110414932040574,2336,48
"20","9f32c1d9e864ca56999ecba030ef815c",2.72320182948204,-0.110414932040574,2336,48
"21","c7e24be91453fd91bfd56d18dcb5cece",2.72320182948204,-0.110414932040574,2336,48
"22","d19f901e0048b513e04cee6a6b137447",2.72320182948204,-0.110414932040574,2336,48
"23","e0d8d3408e011bd76f5bf6121971de72",2.72320182948204,-0.110414932040574,2336,48
"24","3283e0d5d6b21335b185870ec39dc7bd",1.95520289315288,-0.0181505159845969,1411,30
"25","997a6e161b74709805b940c234c91ce4",2.28801374337539,-0.0263555134541803,1769,23
"26","3ea955e6904c44911c909797302fd777",2.05608267418943,-0.0535502886608845,1346,28
"27","57b3beebda7862a64be26dc80e2863c2",2.05608267418943,-0.0535502886608845,1346,28
"28","112ecc2ab885f4975285ace3bbefae0f",1.84399349407183,-0.0285735041720079,1013,19
"29","3b9848bcf6e8ea84a7d5ba080be7fefe",1.84399349407183,-0.0285735041720079,1013,19
"30","015307704b3ee3c799ad609058397d66",1.69968281748534,0.0456288793210829,1169,19
"31","05ff9b624d4c539f4834c99114be2c97",1.69968281748534,0.0456288793210829,1169,19
